연번,시군구,업종,업소명,연락처,주소,메뉴1,가격1,메뉴2,가격2,메뉴3,가격3,메뉴4,가격4
59,서구,숙박업,순천장,062-366-0902,광주광역시 서구 경열로 12(농성동),숙박,25000,대실,10000,,,,
60,서구,한식,수목원,062-382-8800,광주광역시 서구 내방로157번길 4(쌍촌동),삼겹살,13000,생고기,35000,,,,
61,서구,한식,무등회관,062-364-2746,광주광역시 서구 죽봉대로111번길 12(광천동),돌솥비빔밥,8000,생삼겹(200g),13000,백반,7000,,
62,서구,한식,상해회관,062-352-8255,광주광역시 서구 경열로 151-1(농성동),삼겹살(200g),13000,추어탕,6000,제육볶음,8000,,
63,서구,세탁업,남진컴퓨터,062-368-3931,광주광역시 서구 구성로 109-3(양동),정장1벌드라이,6000,바지하단수선,3000,,,,
64,서구,미용업,뉴욕진헤어,062-366-3436,"광주광역시 서구 경열로54번길 8, 1층(농성동)",일밤펌,30000,염색,30000,커트,10000,,
65,서구,한식,예향한우촌,062-651-8292,광주광역시 서구 풍금로4번길 5(풍암동),백반,8000,생고기(150g),24000,익힌비빔밥,8000,,
66,서구,목욕업,공간목욕탕,062-363-4545,광주광역시 서구 금화로 488(농성동),성인,7000,어린이,5000,유아,4000,,
67,서구,한식,진성회관,062-362-6688,광주광역시 서구 금화로481번길 6-16(농성동),익힌비빔밥,8000,생삼겹(200g),13000,생고기(200g),28000,,
68,서구,기타비요식업,세븐노래연습장,0507-1318-8331,"광주광역시 서구 시청로56번길 8, 지하1층(치평동)",  ,8000,30분,4000,,,,
69,서구,한식,이가옹구삼겹살,062-371-8388,광주광역시 서구 시청서편로 2(치평동),돼지주물럭백반,9000,묵은지김치전골,9000,,,,
70,서구,한식,장흥한우,062-371-4455,광주광역시 서구 상무연하로 15(치평동),곰탕,8000,생고기비빔밥,8000,,,,
71,서구,한식,진미가람,062-374-1022,광주광역시 서구 상무중앙로28번길 18(치평동),육회(200g),29000,돼지갈비(270g),16500,,,,
72,서구,한식,금강식당,0507-1476-9112,광주광역시 서구 천변우하로 373(동천동),생고기비빔밥,8000,곰탕,7000,생고기(250g),35000,,
73,서구,한식,삼겹살파티,062-381-5565,"광주광역시 서구 상무시민로 99, 2층(치평동)",장삼겹살,67000,,,,,,
74,서구,한식,수미식당,062-364-0110,광주광역시 서구 월산로165번길 9(농성동),김치찌개,7000,생삼겹살(200g),13000,돌솥비빔밥,7000,,
75,서구,미용업,벨라샵,062-383-5091,광주광역시 서구 염화로57번길 20(화정동),커트,12000,염색,20000,,,,
76,서구,한식,김강심 칼국수,062-682-8801,광주광역시 서구 회재로 841(매월동),바지락칼국수,9000,팥죽,9000,,,,
77,서구,한식,대정회관,062-364-7999,광주광역시 서구 대남대로462번길 3(농성동),청국장,8000,약백숙,60000,,,,
78,서구,미용업,첫눈에 반해,062-431-7114,광주광역시 서구 발산로 46(양동),성인커트,10000,일반펌,35000,,,,
79,서구,한식,시골농장,062-364-3226,광주광역시 서구 경열로54번길 3-1(농성동),삼겹살,15000,,,,,,
80,서구,중식,모리화,062-652-8552,광주광역시 서구 풍금로 31-1(풍암동),짜장면,5500,짬뽕,7000,,,,
81,서구,한식,치킨튀기는오빠,062-655-5878,"광주광역시 서구 풍암순환로 82, 상가동 1층 104호(풍암동)",오리지널빠닭,14900,양념빠닭,15900,,,,
82,서구,한식,신토불이국민동태탕,062-371-7175,"광주광역시 서구 상무버들로 34, 1층(유덕동)",생삼겹살(200g),11000,김치찌개,7000,,,,
83,서구,중식,일품향,062-384-0723,광주광역시 서구 화정로179번길 29-3(화정동),짜장면,6000,짬뽕,7000,,,,
84,서구,미용업,수스토리,062-401-7556,광주광역시 서구 월산로 178-1(농성동),성인커트,10000,일반펌,30000,전체염색,60000,,
85,서구,한식,으뜸원+한우식육식당,0507-1347-9298,광주광역시 서구 내방로 280(내방동),생삼겹살(200g),8000,곰탕,8000,생고기(100g),8500,,
86,서구,한식,1층고깃집,0507-1368-8883,광주광역시 서구 상무화원로32번길 25-10 1층(치평동),삼겹살(200g),15000,,,,,,
87,서구,한식,청림정,062-363-1739,광주광역시 서구 화정로293번길 25(농성동),생삼겹살(200g),12000,김치찌개,7000,,,,
88,서구,미용업,꺳잎머리,062-361-1781,광주광역시 서구 경열로76번길 6(농성동),성인커트,10000,학생커트,8000,,,,
89,서구,한식,혜민이네추어탕,062-369-1237,광주광역시 서구 대남대로450번길 11-1(농성동),추어탕,9000,,,,,,
90,서구,한식,별천지,062-375-2795,광주 서구 상무대로695번길 8,생선구이백반,9500,제육볶음,9500,,,,
91,서구,한식,시골집,062-363-8663,광주 서구 내방로398번길 4,동태찌개,9000,삼겹살,14000,돼지주물럭,10000,,
92,서구,한식,동해계절맛집,062-385-6363,광주 서구 계수로 56,김치찌개,9000,생선구이백반,9000,청국장,9000,,
93,서구,한식,어촌,062-383-5673,광주 서구 시청서편로4번길 15,굴떡국,10000,매생이떡국,10000,낙지비빔밥,10000,,
94,서구,한식,상무본가장어,062-372-9293,광주 서구 시청서편로 4번길 16-1,장어탕,9000,대구뽈탕,9000,갈비탕,15000,,
95,서구,기타비요식업,광주밧데리전문점,062-385-3255,광주 서구 서광주로 200(마륵동),로케트(80L),75000,델코(80L),75000,,,,
96,서구,한식,담양통추어탕,062-384-9980,광주 서구 월드컵4강로229번길 47(쌍촌동),추어탕,10000,,,,,,
97,서구,한식,노란무이야기,062-676-7982,광주 서구 화개중앙로 71-1(금호동),짜장면,6000,해물덮밥,9000,매콤쟁반짜장,15000,간짜장,8000
98,서구,서비스,화사하다,2972-8508,"광주 서구 내방로 415, 상가동 1층 103호(농성동, 광천중해마루힐 주상복합)",컷트,18000,,,,,,
99,서구,서비스,대흥민속목욕탕,062-374-7079,광주 서구 운천로 34(금호동),성인,7000,아동,3000,,,,
100,서구,서비스,럭키탕,062-366-4600,광주 서구 화운로 104(화정동),성인,5500,아동,3500,,,,
101,서구,기타요식업,팔도못난이빵,062-413-5660,광주 서구 천변좌로 238,찹쌀 도넛(3개),2000,,,,,,
102,서구,한식,월드밥,062-350-8111,광주 서구 군분2로 54,뷔페,7000,,,,,,
103,서구,한식,우리 동네 밥 먹는집,062-456-2217,광주 서구 화개중앙로 18 뉴타운1층,뷔페,8000,,,,,,
104,서구,한식,나주곰탕 노안집,062-382-0525,광주 서구 서광주로 171 1층 ,곰탕,9000,나주곰탕,9000,,,,
105,서구,한식,행복식당,0507-1366-9253,광주 서구 화개중앙로 73,돼지김치찌개,8000,,,,,,
106,남구,중식,장가계,062-653-1233,광주광역시 남구 백서로 67(양림동),자장면,6000,짬뽕,7000,,,,
107,남구,중식,윤호식당,062-652-8182,광주광역시 남구 제중로 30(양림동),자장면,5000,짬뽕,6000,탕수육,22000,,
108,남구,중식,평화루,062-361-3313,광주광역시 남구 군분로77번길 6-1(월산동),자장면,3500,짬뽕,4500,탕수육,15000,,
109,남구,한식,행복한양림밥상,062-673-7222,광주광역시 남구 양림로 42(양림동),야채비빔밥,8000,삼겹살,13000,,,,
110,남구,한식,뚱스넥,062-675-7724,광주광역시 남구 제중로 39(양림동),찌개류,5000,칼국수,5000,비빔밥,5000,,
111,남구,한식,벽옥,062-367-3392,광주광역시 남구 군분로 73(월산동),냉면,5000,양념갈비,14000,,,,
112,남구,한식,옛고을,062-352-7505,광주광역시 남구 군분로 58-2(월산동),삼겹살,13000,,,,,,
113,남구,한식,살맛나는세상,062-676-8592,광주광역시 남구 광복마을길 71(진월동),갈비탕,8000,삼계탕,12000,찌개류,8000,,
114,남구,세탁업,유림종합크리닝,062-367-3677,광주광역시 남구 월산로151번안길 1(월산동),세탁료,5000,수선료,3000,,,,
115,남구,미용업,좋은날헤어,062-676-0056,광주광역시 남구 독립로10번길 3(백운동),커트,7000,염색,25000,,,,
116,남구,미용업,두리미용실,062-651-4151,광주광역시 남구 천변좌로552번길 21-1(방림동),커트,7000,펌,25000,염색,20000,,
117,남구,미용업,글로벌헤어샵,062-444-1385,광주광역시 남구 독립로10번길 25(백운동),커트,8000,펌,40000,,,,
118,남구,미용업,리샾헤어,062-672-5204,광주광역시 남구 회서로21번길 1(주월동),커트,11000,,,,,,
119,남구,미용업,지수헤어아트,062-676-7612,광주광역시 남구 회서로 19(주월동),커트,10000,펌,40000,,,,
120,남구,세탁업,사직세탁소,062-651-8065,광주광역시 남구 백서로 55(양림동),세탁료,5000,수선료,3000,,,,
121,남구,기타비요식업,명보스튜디오,062-671-4840,광주광역시 남구 용대로 131(방림동),반명함판,17000,,,,,,
122,남구,기타요식업,카페아짐,062-513-6125, 광주광역시 남구 대남대로181번길 35-1 (봉선동),아메리카노,2500,허브차,3500,,,,
123,남구,미용업,공주들미용실,062-681-7719,광주광역시 남구 독립로 20(백운동),커트,8000,펌,30000,염색,35000,,
124,남구,미용업,박세정헤어,062-232-7003,광주광역시 남구 용대로 193(방림동),커트,12000,,,,,,
125,남구,미용업,뽀글이와 빡빡이 헤어샵,,광주광역시 남구 대남대로159번길 10(봉선동),커트,10000,펌,25000,염색,20000,,
126,남구,한식,엄마딸분식,062-671-8245,"광주광역시 남구 대남대로 65-1, 1층(방림동)",김밥,2500,볶음밥류,6000,찌개류,6500,,
127,남구,한식,은하,062-676-7492,"광주광역시 남구 봉선로51번길 34, 1층(봉선동)",삼겹살,13000,백반,7000,,,,
128,남구,양식,뽀빠이 임실치즈피자,062-366-3002,"광주광역시 남구 대남대로372번길 14, 1층(월산동)",불고기피자,13000,아메리카노,2000,,,,
129,남구,중식,면사무소,062-652-0990,광주광역시 남구 진다리로40번길 2(백운동),자장면,6000,갈비탕,9000,,,,
130,남구,한식,비원고기나라,062-366-7090,"광주광역시 남구 군분로33번길 7, 1층(주월동)",비빔밥,8000,불고기백반,12000,,,,
131,남구,기타요식업,남도식객,062-674-5524,광주광역시 남구 송암로 72(송하동),아메리카노,2000,허브차,3000,,,,
132,남구,미용업,명동헤어센스,062-673-9928,광주광역시 남구 봉선로19번길 21(봉선동),커트,6000,펌,15000,염색,25000,,
133,남구,미용업,미경헤어샵,062-673-9928,광주광역시 남구 독립로 29-1(백운동),커트,7000,펌,25000,염색,25000,,
134,남구,기타요식업,양림토스트,062-653-2156,"광주광역시 남구 제중로 39, 1층(양림동)",아메리카노,2000,수제차,2500,,,,
135,남구,기타비요식업,복음사진관,062-651-4366,광주광역시 남구 봉선중앙로 81(봉선동),반명함판,18000,,,,,,
136,남구,중식,왕자관돌고개점,062-365-1515,광주광역시 남구 월산로151번길 7 (월산동),자장면,6000,탕수육,22000,,,,
137,남구,한식,담양참숯돼지떡갈비,062-671-5090,광주광역시 남구 양림로 67 (양림동),떡갈비백반,7000,떡갈비,14000,,,,
138,남구,기타요식업,카페어비슨(양림교회),062-675-3232,광주광역시 남구 백서로70번길 2 (양림동),아메리카노,2500,녹차류,3000,,,,
139,남구,한식,갈비명가아라네,062-369-1582,광주광역시 남구 군분로 26-1 (월산동),한우불백,12000,갈비탕,10000,비빔밥,8000,,
140,남구,목욕업,대창온천,062-366-3166,광주광역시 남구 월광길 43 (월산동),목욕료,4000,,,,,,
141,남구,목욕업,정우사우나,062-361-3114,광주광역시 남구 금화로422번길 41 (월산동),목욕료,6000,,,,,,
142,남구,한식,현진관,062-352-4911,광주광역시 남구 월산로 ,백반,6500,,,,,,
143,북구,한식,골목대장,563-3434,광주광역시 북구 호동로 9-10 (용봉동),콩나물국밥,4000,된장찌개,5000,순두부찌개,5000,,
144,북구,미용업,꽃님이미용실,261-5532,광주광역시 북구 두리봉길 21 (두암동),컷트,8000,파마,25000,,,,
145,북구,세탁업,남양세탁,573-5585,"광주광역시 북구 설죽로389번길 70(삼각동, 그린타운상가동 112호)",세탁료(드라이),5000,바지기장수선,3000,,,,
146,북구,한식,대바람,523-5392,광주광역시 북구 서방로 76(우산동),삼겹살(200g),13000,순두부찌개,7000,냉면,7000,,
147,북구,이용업,동광이발관,262-0147,광주광역시 북구 면앙로 139 (우산동),컷트(면도포함),10000,,,,,,
148,북구,미용업,머리헤어,573-7997,광주광역시 북구 설죽로 407 (삼각동),컷트,8000,파마,25000,,,,
149,북구,미용업,멋진남자이쁜여자,269-0997,광주광역시 북구 안산로 25 (오치동),컷트,10000,파마,30000,염색,20000,,
150,북구,한식,범두정,524-2472,광주광역시 북구 동문대로 72-1(두암동),된장찌개,7000,비빔밥(돌비),8000,김치찌개,7000,,
151,북구,중식,삼호반점,522-3180,광주광역시 북구 용주로 30번길 9 (용봉동),탕수육(中),20000,자장면,5000,짬뽕,5500,,
152,북구,미용업,샤론뷰티헤어,418-6387,광주광역시 북구 중문로84번길 62 (문흥동),컷트,12000,파마,30000,,,,
153,북구,미용업,성숙헤어,062-521-9543,광주광역시 북구 서양로 166 (우산동),컷트,10000,파마,30000,염색,25000,,
154,북구,미용업,아름다운갈색머리,523-8652,광주광역시 북구 필문대로11번길 12 (풍향동),컷트,10000,파마,30000,,,,
155,북구,미용업,아름다운헤어샵,262-8584,"광주광역시 북구 삼정로 10(두암동, 두암주공아파트 4단지 상가동 104호)",컷트,7000,파마,20000,염색,15000,,
156,북구,미용업,애니,261-4389,광주광역시 북구 서하로233번길 50 (오치동),컷트,12000,파마,30000,,,,
157,북구,한식,엄마손식당,529-3047,광주광역시 북구 무등로262번길 9 (중흥동),된장찌개,7000,김치찌개,7000,애호박찌개,7000,,
158,북구,미용업,정헤어,529-1326,"광주광역시 북구 비엔날레로 49, 104호(운암동)",컷트,10000,파마,30000,,,,
159,북구,세탁업,주공세탁,266-3989,광주광역시 북구 우치로231번길 50 (오치동),"양복(상,하)",5000,바지기장수선,3500,,,,
160,북구,이용업,주공이용원,268-6551,광주광역시 북구 우치로231번길 50 (오치동),컷트,10000,,,,,,
161,북구,한식,한국,527-5595,광주광역시 북구 반룡로28번길 27 (용봉동),돼지갈비(250g),13000,삼겹살(200g),13000,,,,
162,북구,미용업,현대헤어샵,261-1852,광주광역시 북구 동문대로204번길 37 (각화동),컷트,7000,파마,20000,,,,
163,북구,목욕업,황금사우나,573-3536,광주광역시 북구 연양로 36 (양산동),목욕료,6000,,,,,,
164,북구,한식,가마솥나주곰탕,525-9696,광주광역시 북구 서방로 82(우산동),비빔밥(생비),8000,돈가스,7000,냉면,6000,,
165,북구,미용업,가위소리,521-1892,광주광역시 북구 서림로 32(임동),남자컷트,7000,남자파마,10000,,,,
166,북구,한식,고기마트식육식당,264-8043,광주광역시 북구 군왕로194번길 7(각화동),한우생고기비빔밥,10000,한우육회비빔밥,8000,김치찌개,8000,,
167,북구,한식,말바우주차장구내식당,262-1350,광주광역시 북구 서방로 81번길 27 (우산동),냉면,7000,갈비탕,10000,비빔밥(생비),9000,,
168,북구,한식,옴팡골콩나물국밥,262-9885,광주광역시 북구 호동로 9-7 (용봉동),콩나물국밥,5000,김치찌개,6000,순두부찌개,6000,,
169,북구,한식,전라도홍어망월상회,264-4379,광주광역시 북구 동문대로 85번길 59 (우산동),홍어회(100g),6000,홍어찜(100g),3000,홍어무침(100g),2500,,
170,북구,중식,청송반점,525-2373,광주광역시 북구 천변우로 257번길 24 (누문동),자장면,5000,짬뽕,6000,탕수육(中),23000,,
171,북구,중식,현대(반점),522-0081,광주광역시 북구 청계로 81 (용봉동),자장면,6000,짬뽕,7000,국밥,7000,,
172,북구,한식,담양숯불갈비,266-1799,광주광역시 북구 호동로10 (중흥동),비빔밥(돌비),8000,냉면,8000,김치양념전골,8000,,
173,북구,목욕업,일곡녹차사우나,576-7801,"광주광역시 북구 일곡마을로 10-1, 청솔@상가동 120호, B101호 (일곡동)",목욕료,5000,,,,,,
174,북구,한식,무들목장,574-6401,광주광역시 북구 일곡마을로 15-1 (일곡동),김치찌개,8000,비빔밥(생비),9000,삼겹살,13000,,
175,북구,한식,우리뷔페(북동점),228-2002,광주광역시 북구 금남로131번길 13 (북동),한식백반,6000,,,,,,
176,북구,한식,우리뷔페(중흥점),526-6688,광주광역시 북구 제봉로 330 (중흥동),한식백반,6000,,,,,,
177,북구,한식,넝쿨채,268-7900,광주광역시 북구 매곡로32-7 (매곡동),넝쿨채정식(떡갈비 100g),15000,,,,,,
178,북구,한식,서울김밥,222-6234,광주광역시 북구 서방로54-1 (중흥동),김밥,2500,라면,3500,돈까스,6000,,
179,북구,한식,숙희네왕대포집,0507-1333-6156,광주광역시 북구 서하로214번길17 (오치동),병어조림(2인분),12000,고등어구이(2인분),12000,김치찌개(2인분),12000,,
180,북구,한식,일곡치킨,574-3392,광주광역시 북구 설죽로 545-2 상가 2동 102호 (일곡동),후라이드치킨,14000,양념치킨,15000,,,,
181,북구,한식,털보하우스,264-0644,광주광역시 북구 우치로126번길7 (용봉동),돌솥비빔밥,6500,김치찌개,6000,순두부찌개,6000,,
182,북구,중식,궁차이나,574-2040,광주광역시 북구 서하로183번길 31 (오치동),짜장면,5000,짬뽕,7000,탕수육(중),22000,,
183,북구,미용업,엘림미용실,0507-1420-0125,광주광역시 북구 당뫼로8번길 37 (중흥동),컷트,10000,파마,15000,염색,20000,,
184,북구,미용업,뽀글뽀글,265-5577,광주광역시 북구 호동로75번길 16-3 (문흥동),컷트,9000,파마,25000,염색,20000,,
185,북구,세탁업,중흥세탁소,511-6161,"광주광역시 북구 금호로86번길 22, 중흥아파트2차 상가동 102호 (운암동)",세탁료(드라이),5000,바지기장수선,3000,,,,
186,북구,한식,여수세꼬시,512-7772,광주광역시 북구 서방로107번길 62 (두암동),낙지비빔밥,12000,,,,,,
187,북구,목욕업,현대사우나,267-0196,광주광역시 북구 동문대로86번길 69-2 (두암동),목욕료,6000,,,,,,
188,북구,미용업,헤어페스티벌,531-5550,광주광역시 북구 군왕로 57-1 (두암동),컷트,6000,파마,20000,,,,
189,북구,한식,큰집진국밥,513-1065,광주광역시 북구 북문대로159번길 42 (운암동),콩나물국밥,5000,내장국밥,6000,순대국밥,6000,,
190,북구,한식,머꼬요,0507-1396-3438,광주광역시 북구 우치로 186 (용봉동),라면,2500,김치찌개,7000,참치마요덮밥,4000,,
191,북구,이용업,효동이용원,511-2992,광주광역시 북구 군왕로8번길 8(풍향동),컷트,10000,컷트(면도포함),12000,,,,
192,북구,미용업,해나41헤어,266-5273,광주광역시 북구 참판로 41(풍향동),남성컷트,10000,여성컷트,12000,,,,
193,북구,한식,도야지에꿈식육식당,681-9292,광주광역시 북구 중외길 30(매곡동),삼겹살(200g),14000,돼지갈비(300g),15000,양념갈비(300g),14000,,
194,북구,한식,천지연,522-9210,광주광역시 북구 설죽로 214번길 90 (용봉동),비빔밥,3000,김치찌개,3500,순두부찌개,3500,,
195,북구,중식,착한중식당,0507-1380-3401,광주광역시 북구 우치로 72 (중흥동),짜장면,4900,짬뽕,6900,탕수육(대),17000,,
196,북구,한식,수진식당,528-8251,광주광역시 북구 설죽로 214번길 90 (용봉동),비빔밥,5000,김치찌개,5000,순두부찌개,5000,,
197,북구,한식,뽀글이와둘둘이,511-3244,광주광역시 북구 설죽로 202번길 98 (용봉동),김밥,2000,라면,3000,우동,3000,,
198,북구,한식,다원,266-1648,광주광역시 북구 설죽로 202번길 98 (용봉동),김치찌개,5500,순두부찌개,5500,돌솥비빔밥,5500,,
199,북구,한식,부흥식당,525-2785,광주광역시 북구 중가로 86 (유동),가정식백반,7000,비빔밥,8000,,,,
200,북구,한식,곱돌마루,264-3000,호동로 9-4(용봉동),쌈밥정식,,-,,,,,
